keep,2012-08-04,11:57:00,217.118.66.89,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 2.3.4; ru-ru; MT15i Build/4.0.2.A.0.62) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-08-04,11:57:52,1344092435932:::Russia
keep,2012-05-12,10:07:36,217.118.95.137,RU,Russian Federation,Voronezh,86,Voronezh,51.672,39.1843,"Mozilla/5.0 (Linux; U; Android 2.3.4; ru-ru; GT-S5570 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-12,10:08:08,1336831693260
keep,2012-09-30,01:27:59,217.66.152.224,RU,Russian Federation,Saint Petersburg,66,Saint Petersburg City,59.8944,30.2642,"Mozilla/5.0 (Linux; U; Android 2.3.5; ru-ru; GT-S5670 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-30,01:29:10,1348983070463:::Russia
keep,2012-06-11,04:23:41,217.79.26.118,RU,Russian Federation,Samara,65,Samara,53.1835,50.1182,"Mozilla/5.0 (Linux; U; Android 2.3.5; ru-ru; GT-S5660 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-06-11,04:24:15,1339403048707:::Russia
keep,2012-09-04,17:44:15,37.114.160.213,AZ,Azerbaijan,Baku,9,Baki,40.3953,49.8822,"Mozilla/5.0 (Linux; U; Android 2.3.7; ru-ru; ST27i Build/6.0.B.3.184) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-04,18:48:34,1337005659748:::South Africa
keep,2012-09-19,22:43:34,37.114.184.110,AZ,Azerbaijan,Baku,9,Baki,40.3953,49.8822,"Mozilla/5.0 (Linux; U; Android 2.3.5; ru-ru; GT-I9100 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-19,22:44:20,1348109012397:::Russia
keep,2012-08-01,09:32:00,37.17.114.255,BY,Belarus,Minsk,4,Minsk,53.9,27.5667,"Mozilla/5.0 (Linux; U; Android 2.2.1; ru-ru; GT-S5570 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-08-01,09:33:29,1343827958759:::Russia
keep,2012-05-17,15:45:30,46.109.241.154,LV,Latvia,Riga,25,Riga,56.95,24.1,"Mozilla/5.0 (Linux; U; Android 2.3.2; ru-ru; MT15i Build/3.0.A.2.181) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-17,15:45:54,1337323651957:::Sussex
keep,2012-10-24,13:22:00,46.160.111.112,UA,Ukraine,Mariupol,5,Donets'ka Oblast',47.1057,37.5331,"Mozilla/5.0 (Linux; U; Android 2.2; ru-ru; GT-I5800 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-10-24,13:23:01,1351110444546
keep,2012-09-09,07:52:37,46.202.60.78,UA,Ukraine,,,,49,32,"Mozilla/5.0 (Linux; U; Android 2.3.4; ru-ru; e1101_v73_klx1ctp_capella Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-09,07:53:44,1347191556488:::Russia
